POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,SR,Unnamed: 0,Year,Metric,Source_File
21.0,Matthew Hayden,60,34,5,3,RCB,Kingsmead,14 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
22.0,Brad Hodge,71,35,4,4,CSK,Supersport Park,18 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
23.0,Dwayne Bravo,70,35,7,3,PBKS,Supersport Park,12 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
24.0,MS Dhoni,58,35,6,1,DEC,Buffalo Park,04 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
25.0,Suresh Raina,52,35,3,3,KKR,Supersport Park,18 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
26.0,Manish Pandey,114,36,10,4,DEC,Supersport Park,21 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
27.0,Brad Hodge,70,36,10,1,PBKS,St George's Park,03 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
28.0,Robin Uthappa,66,36,8,2,MI,New Wanderers Stadium,03 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
29.0,JP Duminy,59,37,2,3,RCB,St George's Park,10 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
30.0,Ajinkya Rahane,56,37,5,2,DC,Supersport Park,21 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
31.0,JP Duminy,52,37,1,4,KKR,Buffalo Park,01 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
32.0,Rob Quiney,51,37,5,2,MI,Kingsmead,14 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
33.0,Jacques Kallis,62,38,5,2,PBKS,Kingsmead,24 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
34.0,Subramaniam Badrinath,59,38,9,1,RR,De Beers Diamond Oval,09 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
35.0,Herschelle Gibbs,58,38,6,2,MI,Kingsmead,25 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
36.0,Kumar Sangakkara,56,38,4,1,DEC,New Wanderers Stadium,17 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
37.0,Naman Ojha,52,38,3,3,RCB,Supersport Park,07 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
38.0,Jacques Kallis,69,39,5,2,MI,New Wanderers Stadium,03 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
39.0,Mahela Jayawardena,52,39,7,0,KKR,St George's Park,03 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
40.0,Sanath Jayasuriya,52,39,6,1,RCB,New Wanderers Stadium,03 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
41.0,Dwayne Bravo,50,40,1,2,RCB,New Wanderers Stadium,03 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
42.0,Naman Ojha,68,41,5,5,PBKS,Kingsmead,05 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
43.0,Rahul Dravid,66,42,8,1,RR,Newlands,18 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
44.0,Ajinkya Rahane,62,43,4,1,RCB,St George's Park,10 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
45.0,Matthew Hayden,89,44,8,6,PBKS,Supersport Park,07 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
46.0,Brad Hodge,73,44,5,3,MI,Buffalo Park,01 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
47.0,Sachin Tendulkar,59,45,7,0,CSK,Newlands,18 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
48.0,JP Duminy,52,45,7,0,DEC,Supersport Park,06 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
49.0,Ravi Bopara,84,46,4,5,RCB,Kingsmead,24 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
50.0,Herschelle Gibbs,69,46,6,2,CSK,Kingsmead,27 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
51.0,JP Duminy,62,46,4,2,CSK,St George's Park,16 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
52.0,Kumar Sangakkara,60,47,7,1,RR,Newlands,26 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
53.0,Herschelle Gibbs,53,47,3,2,RCB,New Wanderers Stadium,24 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
54.0,Brendon McCullum,84,48,10,2,RCB,Supersport Park,12 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
55.0,Matthew Hayden,60,51,4,1,MI,St George's Park,16 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
56.0,Jacques Kallis,58,51,2,2,DC,New Wanderers Stadium,19 May 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
57.0,JP Duminy,59,55,4,0,PBKS,Kingsmead,29 April 2009,,,2009,Fastest Fifties,Fastest Fifties - 2009.csv
1.0,Robin Uthappa,51,19,4,4,PBKS,M. Chinnaswamy Stadium,16 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
2.0,Yusuf Pathan,100,21,9,8,MI,Brabourne Stadium,13 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
3.0,Virender Sehwag,75,21,8,5,RR,Narendra Modi Stadium,15 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
4.0,Shane Watson,60,21,5,5,CSK,Chidambaram,03 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
5.0,Virender Sehwag,74,22,10,3,CSK,Arun Jaitley Stadium,19 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
6.0,Robin Uthappa,50,22,4,4,KKR,M. Chinnaswamy Stadium,10 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
