POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
66,Daniel Vettori,4.0,19,1,8,4.75,24.0,RCB,Arun Jaitley Stadium,30 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
67,Muttiah Muralitharan,4.0,19,1,12,4.75,24.0,PBKS,Wankhede Stadium,31 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
68,Shane Watson,4.0,19,1,17,4.75,24.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
69,Muttiah Muralitharan,4.0,19,1,11,4.75,24.0,RCB,Chidambaram,21 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
70,Scott Styris,4.0,19,0,14,4.75,0.0,KKR,Eden Gardens,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
71,Shane Warne,4.0,20,2,9,5.0,12.0,DEC,Sawai Mansingh Stadium,09 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
72,Shane Watson,4.0,20,2,15,5.0,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
73,Muttiah Muralitharan,4.0,20,1,13,5.0,24.0,RR,Sawai Mansingh Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
74,Manpreet Gony,3.0,15,1,9,5.0,18.0,DEC,Chidambaram,06 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
75,RP Singh,3.0,15,1,9,5.0,18.0,KKR,Eden Gardens,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
76,Ramesh Powar,4.0,20,1,12,5.0,24.0,DEC,IS Bindra Stadium,23 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
77,RP Singh,3.0,15,0,9,5.0,0.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
78,Ashok Dinda,2.0,10,0,5,5.0,0.0,CSK,Eden Gardens,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
79,Dhawal Kulkarni,3.0,15,0,7,5.0,0.0,KKR,Eden Gardens,29 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
80,Shahid Afridi,2.0,10,0,5,5.0,0.0,RR,Sawai Mansingh Stadium,09 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
81,Vinay Kumar,3.0,15,0,8,5.0,0.0,KKR,Eden Gardens,08 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
82,Dale Steyn,4.0,20,0,13,5.0,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
83,Sunil Joshi,2.0,10,0,5,5.0,0.0,MI,Wankhede Stadium,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
84,Dwayne Bravo,2.2,12,2,6,5.14,7.0,RR,DY Patil Stadium,07 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
85,Makhaya Ntini,4.0,21,4,14,5.25,6.0,KKR,Eden Gardens,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
86,Shane Watson,4.0,21,2,11,5.25,12.0,DC,Sawai Mansingh Stadium,11 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
87,Shane Warne,4.0,21,2,11,5.25,12.0,DC,Wankhede Stadium,30 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
88,Munaf Patel,4.0,21,2,12,5.25,12.0,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
89,Sourav Ganguly,4.0,21,2,11,5.25,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
90,Glenn McGrath,4.0,21,1,11,5.25,24.0,CSK,Chidambaram,02 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
91,Irfan Pathan,4.0,21,1,11,5.25,24.0,RR,Sawai Mansingh Stadium,21 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
92,Glenn McGrath,4.0,21,1,16,5.25,24.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
93,Pradeep Sangwan,4.0,21,1,9,5.25,24.0,MI,DY Patil Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
94,Manpreet Gony,4.0,21,1,12,5.25,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
95,Makhaya Ntini,4.0,21,0,11,5.25,0.0,RR,DY Patil Stadium,01 June 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
96,Scott Styris,3.0,16,0,6,5.33,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
97,Yusuf Pathan,4.0,22,3,10,5.5,8.0,CSK,DY Patil Stadium,01 June 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
98,Praveen Kumar,4.0,22,2,13,5.5,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
99,Munaf Patel,4.0,22,2,14,5.5,12.0,KKR,Eden Gardens,20 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
100,Vinay Kumar,2.0,11,1,6,5.5,12.0,PBKS,IS Bindra Stadium,12 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
101,Muttiah Muralitharan,4.0,22,1,8,5.5,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
102,Pragyan Ojha,4.0,22,1,10,5.5,24.0,CSK,Chidambaram,06 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
103,MF Maharoof,4.0,22,1,13,5.5,24.0,RR,Sawai Mansingh Stadium,11 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
104,Piyush Chawla,4.0,22,1,13,5.5,24.0,MI,Wankhede Stadium,21 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
105,Yuvraj Singh,2.0,11,1,5,5.5,12.0,DC,IS Bindra Stadium,27 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
106,Glenn McGrath,4.0,22,0,15,5.5,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
107,Anil Kumble,4.0,22,0,10,5.5,0.0,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
108,Glenn McGrath,4.0,22,0,8,5.5,0.0,KKR,Eden Gardens,13 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
109,Praveen Kumar,2.4,15,0,6,5.62,0.0,PBKS,IS Bindra Stadium,12 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
110,Balachandra Akhil,3.0,17,2,6,5.66,9.0,MI,Wankhede Stadium,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
111,Paidikalva Vijaykumar,3.0,17,1,11,5.66,18.0,CSK,Chidambaram,06 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
112,Makhaya Ntini,3.0,17,0,9,5.66,0.0,RR,Sawai Mansingh Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
113,Ashish Nehra,3.0,17,0,11,5.66,0.0,KKR,Wankhede Stadium,16 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
114,Umar Gul,4.0,23,4,13,5.75,6.0,PBKS,Eden Gardens,25 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
115,Shane Warne,4.0,23,3,9,5.75,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
116,Praveen Kumar,4.0,23,3,11,5.75,8.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
117,Shahid Afridi,4.0,23,2,9,5.75,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
118,Makhaya Ntini,4.0,23,2,14,5.75,12.0,PBKS,Wankhede Stadium,31 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
119,Shane Warne,4.0,23,1,14,5.75,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
120,Ajit Agarkar,4.0,23,1,13,5.75,24.0,MI,Eden Gardens,29 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
121,Shahid Afridi,4.0,23,1,6,5.75,24.0,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
122,Yo Mahesh,4.0,23,1,9,5.75,24.0,PBKS,IS Bindra Stadium,27 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
123,Irfan Pathan,4.0,23,1,9,5.75,24.0,RCB,IS Bindra Stadium,12 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
124,Glenn McGrath,4.0,23,0,8,5.75,0.0,CSK,Arun Jaitley Stadium,08 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
125,Pragyan Ojha,4.0,23,0,8,5.75,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
126,Shaun Pollock,4.0,23,0,9,5.75,0.0,RCB,M. Chinnaswamy Stadium,28 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
127,Sourav Ganguly,4.0,23,0,8,5.75,0.0,DC,Eden Gardens,13 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
128,Lakshmipathy Balaji,4.0,24,5,12,6.0,4.8,PBKS,Chidambaram,10 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
129,Dwayne Bravo,4.0,24,3,12,6.0,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
130,Zaheer Khan,4.0,24,2,9,6.0,12.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
131,Yuvraj Singh,2.0,12,2,5,6.0,6.0,MI,Wankhede Stadium,21 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
132,Irfan Pathan,4.0,24,1,13,6.0,24.0,CSK,Wankhede Stadium,31 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
133,Abhishek Nayar,3.0,18,1,8,6.0,18.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
134,Ajantha Mendis,4.0,24,1,9,6.0,24.0,PBKS,Eden Gardens,25 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
135,RP Singh,4.0,24,1,13,6.0,24.0,RR,Sawai Mansingh Stadium,09 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
136,Zaheer Khan,4.0,24,1,14,6.0,24.0,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
137,Makhaya Ntini,4.0,24,1,12,6.0,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
138,Muttiah Muralitharan,4.0,24,1,11,6.0,24.0,DEC,Chidambaram,06 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
139,Ashok Dinda,3.0,18,1,9,6.0,18.0,DEC,Eden Gardens,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
140,Paidikalva Vijaykumar,4.0,24,1,11,6.0,24.0,DC,Arun Jaitley Stadium,15 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
141,Praveen Kumar,4.0,24,0,7,6.0,0.0,DC,Arun Jaitley Stadium,30 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
142,Paidikalva Vijaykumar,3.0,18,0,8,6.0,0.0,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
143,Venugopal Rao,4.0,24,0,10,6.0,0.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
144,Ashish Nehra,3.0,18,0,10,6.0,0.0,RR,Sawai Mansingh Stadium,26 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
145,Munaf Patel,4.0,24,0,8,6.0,0.0,DC,Sawai Mansingh Stadium,11 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
146,Ishant Sharma,3.0,18,0,6,6.0,0.0,DC,Eden Gardens,13 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
147,Piyush Chawla,4.0,25,3,12,6.25,8.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
148,Ashish Nehra,4.0,25,3,10,6.25,8.0,DC,DY Patil Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
149,Ajit Agarkar,4.0,25,3,15,6.25,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
150,Albie Morkel,4.0,25,2,9,6.25,12.0,RR,DY Patil Stadium,01 June 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
1,Anil Kumble,3.1,5,5,13,1.57,3.8,RR,Newlands,18 April 2009,2009,Best Bowling Economy Innings,Best Bowling Economy Innings - 2009.csv
2,Muttiah Muralitharan,4.0,8,2,16,2.0,12.0,PBKS,Kingsmead,20 May 2009,2009,Best Bowling Economy Innings,Best Bowling Economy Innings - 2009.csv
3,Amit Singh,4.0,9,3,15,2.25,8.0,PBKS,Kingsmead,05 May 2009,2009,Best Bowling Economy Innings,Best Bowling Economy Innings - 2009.csv
4,Harbhajan Singh,4.0,9,1,15,2.25,24.0,PBKS,Supersport Park,12 May 2009,2009,Best Bowling Economy Innings,Best Bowling Economy Innings - 2009.csv
5,Praveen Kumar,3.0,7,2,15,2.33,9.0,RR,Newlands,18 April 2009,2009,Best Bowling Economy Innings,Best Bowling Economy Innings - 2009.csv
6,Muttiah Muralitharan,4.0,11,3,16,2.75,8.0,RCB,St George's Park,20 April 2009,2009,Best Bowling Economy Innings,Best Bowling Economy Innings - 2009.csv
