Unnamed: 0.1,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
88,Sohail Tanvir,4.0,30,2,12.0,KKR,Sawai Mansingh Stadium,01 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
89,Mohammad Asif,4.0,39,2,12.0,PBKS,IS Bindra Stadium,27 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
90,Shane Warne,4.0,20,2,12.0,DEC,Sawai Mansingh Stadium,09 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
91,Shanthakumaran Sreesanth,4.0,31,2,12.0,MI,IS Bindra Stadium,25 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
92,Joginder Sharma,4.0,29,2,12.0,MI,Chidambaram,23 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
93,Pragyan Ojha,4.0,30,2,12.0,PBKS,IS Bindra Stadium,23 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
94,Shanthakumaran Sreesanth,4.0,33,2,12.0,KKR,Eden Gardens,25 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
95,Lakshmipathy Balaji,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
96,MF Maharoof,4.0,11,2,12.0,RR,Arun Jaitley Stadium,19 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
97,Albie Morkel,4.0,27,2,12.0,PBKS,Wankhede Stadium,31 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
98,Irfan Pathan,4.0,30,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
99,Umar Gul,4.0,27,2,12.0,PBKS,IS Bindra Stadium,03 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
100,Dale Steyn,4.0,19,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
101,MF Maharoof,4.0,36,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
