POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
72,Praveen Kumar,34,30,113.33,2,3,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
73,David Hussey,38,43,88.37,1,3,DEC,Eden Gardens,20 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
74,Shahid Afridi,20,6,333.33,2,2,CSK,Chidambaram,06 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
75,Manpreet Gony,15,6,250.0,0,2,DEC,Chidambaram,06 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
76,Shane Warne,22,9,244.44,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
77,Sanjay Bangar,17,7,242.85,0,2,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
78,Sanath Jayasuriya,36,15,240.0,6,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
79,Shahid Afridi,33,14,235.71,3,2,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
80,Shaun Pollock,28,12,233.33,3,2,RCB,Wankhede Stadium,20 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
81,Subramaniam Badrinath,31,14,221.42,3,2,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
82,Venugopal Rao,26,12,216.66,2,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
83,Mahela Jayawardena,36,17,211.76,3,2,DC,Arun Jaitley Stadium,17 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
84,Mark Boucher,39,19,205.26,4,2,MI,Wankhede Stadium,20 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
85,Brendon McCullum,24,12,200.0,2,2,CSK,Chidambaram,26 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
86,Robin Uthappa,46,23,200.0,5,2,DC,Arun Jaitley Stadium,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
87,Kumar Sangakkara,50,25,200.0,7,2,DEC,IS Bindra Stadium,23 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
88,Rohit Sharma,35,18,194.44,3,2,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
89,Ross Taylor,29,15,193.33,3,2,DC,Arun Jaitley Stadium,30 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
90,Ross Taylor,23,12,191.66,1,2,MI,Wankhede Stadium,20 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
91,Venugopal Rao,34,18,188.88,3,2,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
