Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
1056,Sandeep Sharma,4.0,12,1,14,3.0,24.0,MI,Wankhede Stadium,12 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1057,Ravichandran Ashwin,4.0,13,1,16,3.25,24.0,RCB,JSCA Stadium,22 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1058,Mohit Sharma,3.0,10,1,12,3.33,18.0,PBKS,Chidambaram,25 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1059,Sandeep Sharma,3.0,10,0,12,3.33,0.0,DC,Arun Jaitley Stadium,01 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1060,Ravichandran Ashwin,4.0,14,2,14,3.5,12.0,PBKS,Chidambaram,25 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1061,Ravichandran Ashwin,4.0,14,1,14,3.5,24.0,PBKS,IS Bindra Stadium,16 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1062,Domnic Joseph,2.0,7,1,8,3.5,12.0,MI,Arun Jaitley Stadium,23 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1063,Ravindra Jadeja,3.0,11,0,10,3.66,0.0,KKR,Chidambaram,28 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1064,Mitchell Starc,4.0,15,4,14,3.75,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1065,JP Duminy,4.0,15,1,10,3.75,24.0,PBKS,Arun Jaitley Stadium,01 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1066,Moises Henriques,4.0,16,3,10,4.0,8.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1067,Mitchell McClenaghan,4.0,16,3,13,4.0,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1068,Ashish Nehra,4.0,16,2,15,4.0,12.0,PBKS,Chidambaram,25 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1069,Karn Sharma,3.0,12,2,11,4.0,9.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1070,Stuart Binny,2.0,8,1,8,4.0,12.0,MI,Narendra Modi Stadium,14 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1071,Piyush Chawla,4.0,16,1,8,4.0,24.0,SRH,Eden Gardens,04 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1072,Jayant Yadav,2.0,8,1,7,4.0,12.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1073,Suresh Raina,3.0,12,0,8,4.0,0.0,KKR,Chidambaram,28 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1074,Zaheer Khan,4.0,17,2,13,4.25,12.0,PBKS,Arun Jaitley Stadium,01 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1075,Brad Hogg,4.0,17,2,10,4.25,12.0,SRH,Eden Gardens,04 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1076,Lasith Malinga,4.0,17,2,12,4.25,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
