POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Unnamed: 0,Year,Metric,Source_File
,Nitish Rana,4,1,1.0,3,0,0/3,0.0,3.0,0.0,0,0,994.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shreyas Gopal,1,1,3.0,18,0,0/18,0.0,6.0,0.0,0,0,995.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Kane Williamson,6,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0,996.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Anureet Singh,2,2,6.0,43,0,0/15,0.0,7.16,0.0,0,0,997.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Colin Munro,4,2,2.0,15,0,0/7,0.0,7.5,0.0,0,0,998.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Irfan Pathan,4,3,8.0,61,0,0/7,0.0,7.62,0.0,0,0,999.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Murali Vijay,14,1,1.0,8,0,0/8,0.0,8.0,0.0,0,0,1000.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Deepak Chahar,2,2,5.0,41,0,0/13,0.0,8.2,0.0,0,0,1001.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Suresh Raina,15,4,10.0,82,0,0/15,0.0,8.2,0.0,0,0,1002.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Yuvraj Singh,10,5,6.1,52,0,0/7,0.0,8.43,0.0,0,0,1003.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Dale Steyn,1,1,2.0,17,0,0/17,0.0,8.5,0.0,0,0,1004.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Glenn Maxwell,11,7,9.0,80,0,0/3,0.0,8.88,0.0,0,0,1005.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Swapnil Singh,1,1,3.0,29,0,0/29,0.0,9.66,0.0,0,0,1006.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Karn Sharma,5,5,16.2,171,0,0/24,0.0,10.46,0.0,0,0,1007.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sarabjit Ladda,1,1,2.0,21,0,0/21,0.0,10.5,0.0,0,0,1008.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,David Wiese,1,1,4.0,49,0,0/49,0.0,12.25,0.0,0,0,1009.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pradeep Sangwan,2,2,4.0,49,0,0/21,0.0,12.25,0.0,0,0,1010.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Virat Kohli,16,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0,1011.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Kieron Pollard,13,4,6.0,81,0,0/11,0.0,13.5,0.0,0,0,1012.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jagadeesha Suchith,1,1,2.0,31,0,0/31,0.0,15.5,0.0,0,0,1013.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jaydev Unadkat,1,1,3.0,49,0,0/49,0.0,16.33,0.0,0,0,1014.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Bhuvneshwar Kumar,14,14,52.2,369,26,5/19,14.19,7.05,12.07,0,1,1015.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jaydev Unadkat,12,12,45.5,322,24,5/30,13.41,7.02,11.45,0,1,1016.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jasprit Bumrah,16,16,59.2,439,20,3/7,21.95,7.39,17.8,0,0,1017.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mitchell McClenaghan,14,14,54.0,507,19,3/24,26.68,9.38,17.05,0,0,1018.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Imran Tahir,12,12,47.0,369,18,3/18,20.5,7.85,15.66,0,0,1019.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Rashid Khan,14,14,54.0,358,17,3/19,21.05,6.62,19.05,0,0,1020.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sandeep Sharma,13,13,48.0,398,17,4/20,23.41,8.29,16.94,1,0,1021.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Umesh Yadav,14,14,48.3,410,17,4/33,24.11,8.45,17.11,1,0,1022.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Chris Woakes,13,13,44.0,386,17,3/6,22.7,8.77,15.52,0,0,1023.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pawan Negi,12,12,32.1,197,16,3/10,12.31,6.12,12.06,0,0,1024.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Siddarth Kaul,10,10,35.4,300,16,4/29,18.75,8.41,13.37,1,0,1025.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Axar Patel,14,14,48.0,362,15,3/11,24.13,7.54,19.2,0,0,1026.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Nathan Coulter-Nile,8,8,28.2,228,15,3/20,15.2,8.04,11.33,0,0,1027.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pat Cummins,12,12,46.1,373,15,2/20,24.86,8.07,18.46,0,0,1028.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Yuzvendra Chahal,13,13,43.3,333,14,3/16,23.78,7.65,18.64,0,0,1029.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Karn Sharma,9,9,30.4,214,13,4/16,16.46,6.97,14.15,1,0,1030.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
