POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
19,Yusuf Pathan,18,5,360.0,1,2,DC,Supersport Park,28 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
20,Brendon McCullum,18,5,360.0,1,2,DC,Kingsmead,05 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
21,Simon Katich,18,6,300.0,3,1,DC,OUTsurance Oval,15 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
22,Simon Katich,18,5,360.0,0,3,CSK,Supersport Park,07 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
23,Herschelle Gibbs,18,5,360.0,3,1,CSK,Kingsmead,27 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
24,Matthew Hayden,18,5,360.0,1,2,DC,Kingsmead,23 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
25,Matthew Hayden,18,6,300.0,0,3,PBKS,Supersport Park,07 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
26,Jesse Ryder,18,6,300.0,4,0,PBKS,Kingsmead,24 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
27,Manish Pandey,18,6,300.0,0,2,DEC,Supersport Park,21 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
28,Yuvraj Singh,17,5,340.0,2,1,CSK,Supersport Park,07 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
29,Rahul Dravid,17,6,283.33,2,1,DEC,Newlands,22 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
30,Albie Morkel,17,5,340.0,1,2,KKR,Supersport Park,18 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
31,Rohit Sharma,17,5,340.0,1,2,PBKS,New Wanderers Stadium,17 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
32,Herschelle Gibbs,17,4,425.0,1,2,RCB,Supersport Park,21 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
33,Jacob Oram,17,4,425.0,1,2,DEC,Kingsmead,27 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
34,Dwayne Bravo,17,5,340.0,0,2,RCB,New Wanderers Stadium,03 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
35,Adam Gilchrist,17,5,340.0,4,0,DC,Kingsmead,13 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
36,Yuvraj Singh,17,5,340.0,1,2,RR,Kingsmead,05 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
37,Suresh Raina,17,4,425.0,1,2,DEC,Buffalo Park,04 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
38,Ravi Bopara,16,5,320.0,0,2,RCB,Kingsmead,24 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
39,Manish Pandey,16,6,266.66,2,1,DEC,Supersport Park,21 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
40,Adam Gilchrist,16,6,266.66,1,2,CSK,Kingsmead,27 April 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
41,Roelof van der Merwe,16,4,400.0,1,2,PBKS,Kingsmead,01 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
