POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
134.0,Manpreet Gony,4.0,11,2,12.0,RCB,Chidambaram,21 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
135.0,Yo Mahesh,4.0,50,2,12.0,RR,Wankhede Stadium,30 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
136.0,Siddharth Trivedi,4.0,31,2,12.0,MI,Sawai Mansingh Stadium,26 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
137.0,Shanthakumaran Sreesanth,4.0,25,2,12.0,KKR,IS Bindra Stadium,03 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
138.0,Piyush Chawla,4.0,33,2,12.0,RCB,IS Bindra Stadium,12 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
139.0,Glenn McGrath,4.0,15,2,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
140.0,Irfan Pathan,4.0,26,2,12.0,DC,IS Bindra Stadium,27 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
141.0,MF Maharoof,4.0,39,2,12.0,DEC,Arun Jaitley Stadium,15 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
142.0,Shanthakumaran Sreesanth,4.0,29,2,12.0,CSK,Chidambaram,10 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
143.0,Piyush Chawla,4.0,16,2,12.0,MI,IS Bindra Stadium,25 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
144.0,Sanjay Bangar,4.0,34,2,12.0,MI,DY Patil Stadium,27 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
145.0,Rajat Bhatia,4.0,27,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
146.0,Shanthakumaran Sreesanth,4.0,35,2,12.0,MI,Wankhede Stadium,21 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
147.0,Piyush Chawla,4.0,36,2,12.0,KKR,Eden Gardens,25 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
148.0,Shane Watson,4.0,26,2,12.0,MI,DY Patil Stadium,07 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
149.0,Pragyan Ojha,4.0,18,2,12.0,KKR,Eden Gardens,20 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
150.0,Makhaya Ntini,4.0,23,2,12.0,PBKS,Wankhede Stadium,31 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
