Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1800,Rahul Tewatia,30,6,500.0,0,5,PBKS,Sharjah Cricket Stadium,27 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1801,Nicholas Pooran,28,6,466.66,1,4,SRH,Dubai International Stadium,08 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1802,Kieron Pollard,27,6,450.0,1,3,RCB,Dubai International Stadium,28 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1803,Hardik Pandya,26,5,520.0,2,3,RR,Zayed Cricket Stadium,25 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1804,Jofra Archer,26,7,371.42,0,4,CSK,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1805,KL Rahul,26,6,433.33,2,3,RCB,Dubai International Stadium,24 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1806,Pat Cummins,26,6,433.33,0,4,MI,Zayed Cricket Stadium,23 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1807,Chris Gayle,25,6,416.66,3,2,DC,Dubai International Stadium,20 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1808,Hardik Pandya,25,5,500.0,0,4,RR,Zayed Cricket Stadium,25 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1809,Marcus Stoinis,25,6,416.66,3,2,PBKS,Dubai International Stadium,20 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1810,Rahul Tripathi,22,5,440.0,1,3,DC,Sharjah Cricket Stadium,03 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1811,David Warner,22,6,366.66,4,1,DC,Dubai International Stadium,27 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1812,Rohit Sharma,21,5,420.0,2,2,PBKS,Zayed Cricket Stadium,01 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1813,Sam Curran,21,5,420.0,2,2,SRH,Dubai International Stadium,13 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1814,Sanju Samson,21,6,350.0,0,3,PBKS,Sharjah Cricket Stadium,27 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1815,Krunal Pandya,20,4,500.0,2,2,SRH,Sharjah Cricket Stadium,04 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1816,Priyam Garg,20,6,333.33,3,1,CSK,Dubai International Stadium,02 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1817,Axar Patel,20,4,500.0,0,3,CSK,Sharjah Cricket Stadium,17 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
